FSC-A	FSC-H	SSC-A	SSC-H	CD16 FITC	CD56 PE	DAPI	Time	Plate#	Well position	Sample name
153365.39	90267.0	111826.375	61455.0	129.71	112.2	98.79	54653.1	LCE123	G19	NKC_085
68003.1	55957.0	24217.621	17717.0	2984.4202	908.82	16.02	54885.5	LCE123	G20	NKC_085
64008.9	53036.0	20435.32	15739.0	1047.49	924.12	11.57	55603.9	LCE123	G21	NKC_085
74261.695	60775.0	29124.8	23071.0	553.72003	4488.0	37.38	55904.8	LCE123	G22	NKC_085
67648.5	55005.0	23553.81	18514.0	2658.51	2135.88	37.38	56129.7	LCE123	G23	NKC_085
83460.6	67034.0	30294.371	23706.0	1335.25	11033.34	40.94	56513.8	LCE123	G24	NKC_085
68963.4	57234.0	23153.781	18732.0	481.78003	5309.1	17.8	56811.1	LCE123	H24	NKC_085
75603.6	61082.0	28189.58	21009.0	1076.92	3540.42	24.029999	57043.4	LCE123	H23	NKC_085
71742.6	57684.0	21189.602	15550.0	1443.16	2035.9199	49.84	57619.9	LCE123	H22	NKC_085
69491.695	57838.0	25691.3	20796.0	5004.19	2267.46	38.27	57942.7	LCE123	H21	NKC_085
65092.5	53703.0	25804.66	20575.0	759.73004	4843.98	34.71	58124.3	LCE123	H20	NKC_085
133518.6	79359.0	89275.36	54198.0	117.72	78.54	225.17	58281.2	LCE123	H19	NKC_085
139803.3	81490.0	91416.125	49501.0	136.25	127.5	87.22	58457.9	LCE123	H18	NKC_085
113205.59	68819.0	92460.34	60014.0	99.19	39.78	132.61	58629.4	LCE123	H17	NKC_085
126584.09	83404.0	65838.18	41867.0	75.21	64.26	108.58	58841.1	LCE123	H16	NKC_085
193237.19	93932.0	180991.23	87112.0	125.350006	145.86	283.02	59021.2	LCE123	H15	NKC_085
176730.3	90419.0	94867.06	51787.0	125.350006	74.46	86.33	59199.3	LCE123	H14	NKC_085
136118.7	89306.0	68313.57	45898.0	68.670006	79.56	75.65	59373.4	LCE123	H13	NKC_085
131430.6	78173.0	83770.86	45958.0	547.18	214.2	178.89	59573.5	LCE123	H12	NKC_085
91024.195	64660.0	73545.57	52336.0	620.21	143.81999	154.86	60246.0	LCE123	H11	NKC_085
121280.4	74496.0	71607.555	42234.0	649.64	70.38	89.0	61082.0	LCE123	H10	NKC_085
109923.3	72508.0	86128.53	55501.0	644.19	39.78	209.15	61432.5	LCE123	H9	NKC_085
214011.0	108645.0	136786.28	65982.0	506.85	42.84	241.19	62601.1	LCE123	H8	NKC_085
97865.09	66400.0	88303.086	55411.0	1355.9601	55.079998	112.14	63580.6	LCE123	H7	NKC_085
73327.5	55684.0	67212.67	44327.0	897.07	104.04	52.51	64481.0	LCE123	H6	NKC_085
88783.195	67521.0	42329.062	32179.0	75.21	7478.6396	28.48	64664.1	LCE123	H5	NKC_085
74162.695	55967.0	32616.07	25046.0	37.06	13060.08	23.14	64839.7	LCE123	H4	NKC_085
86859.0	68706.0	30248.592	22703.0	100.28001	28401.9	55.18	65024.1	LCE123	H3	NKC_085
92073.59	68581.0	39993.19	28552.0	99.19	32143.26	32.93	65247.3	LCE123	H2	NKC_085
104433.3	68186.0	48925.742	33582.0	99.19	35397.06	58.739998	65435.3	LCE123	H1	NKC_085
77253.3	57714.0	53978.98	39818.0	123.170006	24935.94	72.979996	65606.1	LCE123	I1	NKC_085
88117.195	68832.0	50868.12	40682.0	100.28001	25742.76	50.73	65793.7	LCE123	I2	NKC_085
92093.4	69423.0	54680.94	38078.0	64.310005	29921.7	72.09	65971.7	LCE123	I3	NKC_085
88869.59	64800.0	40857.562	30090.0	83.93	16407.719	39.16	66168.2	LCE123	I4	NKC_085
75398.4	61587.0	21734.602	17423.0	53.41	15245.939	26.699999	66354.1	LCE123	I5	NKC_085
106083.0	64815.0	69954.02	45393.0	1718.93	53.04	117.479996	66673.5	LCE123	I6	NKC_085
86570.1	67007.0	25070.0	17943.0	3942.53	-3.06	51.62	67386.5	LCE123	I7	NKC_085
